[LOG] Виклик: deposit | Аргументи: (1000.0,), {} | Результат: None
[LOG] Виклик: check_balance | Аргументи: (), {} | Результат: None
[LOG] Виклик: withdraw | Аргументи: (200.0,), {} | Результат: None
[LOG] Виклик: deposit | Аргументи: (20000.0,), {} | Результат: None
[LOG] Виклик: withdraw | Аргументи: (2000.0,), {} | Результат: None
[LOG] Виклик: check_balance | Аргументи: (), {} | Результат: None
[LOG] Виклик: deposit | Аргументи: (700000.0,), {} | Результат: None
[LOG] Виклик: check_balance | Аргументи: (), {} | Результат: None
[LOG] Виклик: check_balance | Аргументи: (), {} | Результат: None
[LOG] Виклик: deposit | Аргументи: (-100,), {} | Результат: None
[LOG] Виклик: deposit | Аргументи: (500,), {} | Результат: None
[LOG] Виклик: deposit | Аргументи: (123,), {} | Результат: None
[LOG] Виклик: withdraw | Аргументи: (2000,), {} | Результат: None
[LOG] Виклик: withdraw | Аргументи: (300,), {} | Результат: None
[LOG] Виклик: check_balance | Аргументи: (), {} | Результат: None
[LOG] Виклик: deposit | Аргументи: (77462.0,), {} | Результат: None
[LOG] Виклик: check_balance | Аргументи: (), {} | Результат: None
[LOG] Виклик: withdraw | Аргументи: (456.0,), {} | Результат: None
[LOG] Виклик: check_balance | Аргументи: (), {} | Результат: None
[LOG] Виклик: deposit | Аргументи: (500,), {} | Результат: None
[LOG] Виклик: withdraw | Аргументи: (200,), {} | Результат: None
[LOG] Виклик: deposit | Аргументи: (-100,), {} | Результат: None
[LOG] Виклик: deposit | Аргументи: (500,), {} | Результат: None
[LOG] Виклик: deposit | Аргументи: (0,), {} | Результат: None
[LOG] Виклик: deposit | Аргументи: (200,), {} | Результат: None
[LOG] Виклик: deposit | Аргументи: (300,), {} | Результат: None
[LOG] Виклик: withdraw | Аргументи: (100,), {} | Результат: None
[LOG] Виклик: withdraw | Аргументи: (200,), {} | Результат: None
[LOG] Виклик: deposit | Аргументи: (123,), {} | Результат: None
[LOG] Виклик: withdraw | Аргументи: (-100,), {} | Результат: None
[LOG] Виклик: withdraw | Аргументи: (9999,), {} | Результат: None
[LOG] Виклик: withdraw | Аргументи: (200,), {} | Результат: None
[LOG] Виклик: deposit | Аргументи: (1000.0,), {} | Результат: None
[LOG] Виклик: withdraw | Аргументи: (1000.0,), {} | Результат: None
[LOG] Виклик: deposit | Аргументи: (1000.0,), {} | Результат: None
[LOG] Виклик: deposit | Аргументи: (1000.0,), {} | Результат: None
[LOG] Виклик: withdraw | Аргументи: (200.0,), {} | Результат: None
[LOG] Виклик: deposit | Аргументи: (45210.0,), {} | Результат: None
[LOG] Виклик: withdraw | Аргументи: (2165.0,), {} | Результат: None
[LOG] Виклик: withdraw | Аргументи: (5647.0,), {} | Результат: None
[LOG] Виклик: deposit | Аргументи: (1000.0,), {} | Результат: None
[LOG] Виклик: withdraw | Аргументи: (100.0,), {} | Результат: None
[LOG] Виклик: deposit | Аргументи: (245501.0,), {} | Результат: None
[LOG] Виклик: withdraw | Аргументи: (81514.0,), {} | Результат: None
[LOG] Виклик: deposit | Аргументи: (5465050.0,), {} | Результат: None
[LOG] Виклик: withdraw | Аргументи: (60841.0,), {} | Результат: None
[LOG] Виклик: deposit | Аргументи: (60841.0,), {} | Результат: None
[LOG] Виклик: withdraw | Аргументи: (60841.0,), {} | Результат: None
[LOG] Виклик: deposit | Аргументи: (500,), {} | Результат: None
[LOG] Виклик: withdraw | Аргументи: (200,), {} | Результат: None
[LOG] Виклик: deposit | Аргументи: (-100,), {} | Результат: None
[LOG] Виклик: deposit | Аргументи: (500,), {} | Результат: None
[LOG] Виклик: deposit | Аргументи: (0,), {} | Результат: None
[LOG] Виклик: deposit | Аргументи: (200,), {} | Результат: None
[LOG] Виклик: deposit | Аргументи: (300,), {} | Результат: None
[LOG] Виклик: withdraw | Аргументи: (100,), {} | Результат: None
[LOG] Виклик: withdraw | Аргументи: (200,), {} | Результат: None
[LOG] Виклик: deposit | Аргументи: (123,), {} | Результат: None
[LOG] Виклик: withdraw | Аргументи: (-100,), {} | Результат: None
